,city,lat,lon,temp,humidity,cloudiness,windspeed
0,mayor pablo lagerenza,-19.9309,-60.7718,25.07,71,100,2.24
1,la ermita,20.4139,-101.9936,12.33,62,89,1.06
2,ushuaia,-54.8,-68.3,7.87,97,100,1.2
3,hobart,-42.8794,147.3294,28.34,58,20,1.79
4,punta arenas,-53.15,-70.9167,8.95,76,98,4.35
5,albany,42.6001,-73.9662,-16.49,92,6,0.32
6,casino,-28.8667,153.05,23.65,81,79,2.89
7,mongoumba,3.6415,18.5936,31.27,17,46,2.46
8,cape town,-33.9258,18.4232,23.95,60,7,2.68
9,synya,65.3718,58.0387,-11.72,94,97,2.6
10,port alfred,-33.5906,26.891,24.26,83,95,3.7
11,ribeira grande,38.5167,-28.7,14.22,72,75,3.09
12,isabela,6.7085,121.9711,30.19,64,54,3.36
13,magrath,49.4167,-112.8686,-2.37,71,78,3.37
14,kodiak,57.79,-152.4072,1.39,99,100,10.34
15,hokitika,-42.7167,170.9667,15.83,67,0,3.1
16,carnarvon,-24.8667,113.6333,26.52,68,0,9.05
17,praya,14.9215,-23.5087,21.3,73,40,11.32
18,hilo,19.7297,-155.09,20.62,90,49,0.89
19,grand-santi,4.25,-54.3833,21.56,99,100,0.61
20,busselton,-33.65,115.3333,27.83,38,0,7.87
21,rikitea,-23.1203,-134.9692,25.76,78,5,7.65
22,puerto ayora,-0.7393,-90.3518,22.39,91,58,2.28
23,vanimo,-2.6741,141.3028,27.5,80,100,1.53
24,new norfolk,-42.7826,147.0587,28.14,47,18,0.89
25,nikolayevsk-na-amure,53.1406,140.73,-23.01,99,93,1.2
26,bubaque,11.2833,-15.8333,25.98,59,30,2.53
27,torbay,47.6666,-52.7314,-2.46,90,100,2.68
28,hermanus,-34.4187,19.2345,27.17,67,67,2.96
29,rocha,-34.4833,-54.3333,17.35,66,21,6.18
30,avarua,-21.2078,-159.775,27.03,89,75,5.66
31,athabasca,54.7169,-113.2854,-11.87,98,43,1.67
32,fairbanks,64.8378,-147.7164,-26.66,69,57,0.96
33,atuona,-9.8,-139.0333,25.62,80,14,7.59
34,chokurdakh,70.6333,147.9167,-32.6,93,24,5.82
35,pisco,-13.7,-76.2167,18.9,89,100,0.25
36,bluff,-46.6,168.3333,11.56,65,64,3.69
37,arcata,40.8665,-124.0828,6.25,95,100,1.34
38,ossora,59.2353,163.0719,-2.07,96,100,10.14
39,vaini,-21.2,-175.2,27.59,79,29,4.87
40,fukue,32.6881,128.8419,10.2,62,99,5.77
41,tateyama,34.9833,139.8667,10.61,50,100,3.18
42,port elizabeth,-33.918,25.5701,21.17,94,100,2.57
43,boa vista,2.8197,-60.6733,24.38,80,94,3.26
44,kuah,6.3265,99.8432,28.2,70,25,4.0
45,east london,-33.0153,27.9116,26.71,75,18,3.26
46,leningradskiy,69.3833,178.4167,-30.5,89,12,1.43
47,gazojak,41.1875,61.4036,6.0,61,16,6.37
48,wamba,8.9333,8.6,26.92,16,14,0.65
49,qaanaaq,77.484,-69.3632,-21.49,57,92,3.74
50,bengkulu,-3.8004,102.2655,28.22,72,100,2.01
51,thurles,52.6819,-7.8022,10.65,94,91,2.3
52,thompson,55.7435,-97.8558,-26.65,88,7,5.01
53,salalah,17.0151,54.0924,24.04,56,0,2.86
54,nikolskoye,59.7035,30.7861,-2.85,95,100,4.26
55,arraial do cabo,-22.9661,-42.0278,23.34,87,35,8.5
56,khatanga,71.9667,102.5,-15.99,92,99,6.51
57,tairua,-37.0167,175.85,21.72,82,12,6.53
58,yellowknife,62.456,-114.3525,-20.85,97,18,3.52
59,egvekinot,66.3167,-179.1667,-26.24,98,99,0.72
60,mar del plata,-38.0023,-57.5575,16.72,71,75,0.89
61,constitucion,-35.3333,-72.4167,13.5,93,52,1.33
62,heihe,50.2441,127.4902,-11.68,85,7,2.12
63,vila velha,-20.3297,-40.2925,22.19,89,0,3.47
64,enid,36.3956,-97.8784,-1.18,89,100,4.12
65,ancud,-41.8697,-73.8203,11.74,76,0,1.18
